;;;;;;;;;;;;;;;;;;;;;;;;
;PEDIDO DE MATERIAL MENSAL - /2025;;;;;;;;;;;;;;;;;;;;;;;
;"CLINICA: 
CNPJ: ";;;;;;;;;;;;;;;;;;;;;;;
;CODIGO_PRODUTO;DESCRICAO_PRODUTO;UNIDADE;MARCA;PEDIDO;ESTOQUE ;;;;;;;;;;;;;;;;;;
;373257;Arco Flexy NiTi Superelástico Retangular - 0,017x0,025 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373592;Arco Flexy NiTi Thermal 35 Redondo - 0,012 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373585;Arco Flexy NiTi Thermal 35 Redondo - 0,012 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373615;Arco Flexy NiTi Thermal 35 Redondo - 0,014 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373608;Arco Flexy NiTi Thermal 35 Redondo - 0,014 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373639;Arco Flexy NiTi Thermal 35 Redondo - 0,016 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373622;Arco Flexy NiTi Thermal 35 Redondo - 0,016 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373653;Arco Flexy NiTi Thermal 35 Redondo - 0,018 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373646;Arco Flexy NiTi Thermal 35 Redondo - 0,018 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373677;Arco Flexy NiTi Thermal 35 Redondo - 0,020 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373660;Arco Flexy NiTi Thermal 35 Redondo - 0,020 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;545371;Arco Flexy NiTi CURVA REVERSA Retangular - 0,016x0,022 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373738;Arco Flexy NiTi Thermal 35 Retangular - 0,017x0,025 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373721;Arco Flexy NiTi Thermal 35 Retangular - 0,017x0,025 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373745;Arco Flexy NiTi Thermal 35 Retangular - 0,018x0,025 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373776;Arco Flexy NiTi Thermal 35 Retangular - 0,019x0,025 Inferior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;373769;Arco Flexy NiTi Thermal 35 Retangular - 0,019x0,025 Superior;UNIDADE OU PECA;ORTHOMETRIC;;;;;;;;;;;;;;;;;;;;
;113786;Avental Especial Manga Longa 16GR Branco 10unid.;UNIDADE;DESCARPACK;;;;;;;;;;;;;;;;;;;;
;100252;Babador Impermeável Bibs Verde 100unid.;UNIDADE OU PECA;HOSPFLEX;;;;;;;;;;;;;;;;;;;;
;372021;Babador Impermeável Branco 100unid.;PACOTE;SSPLUS;;;;;;;;;;;;;;;;;;;;
;538014;BARREIRA GENGIVAL GINGI DAM - SERINGA 1G VILLEVIE;UNIDADE OU PECA;VILLEVIE;;;;;;;;;;;;;;;;;;;;
;272239;BARREIRA GENGIVAL TOP DAM BLUE - AZUL 1SER 2G FGM;UNIDADE OU PECA;FGM;;;;;;;;;;;;;;;;;;;;
;417074;Botão lingual Para Colagem Reto 10UN 3010205;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;103814;BRAQ ACO AUTO ROTH SLH 022 5X5 - GCH 20UN 1023900 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409710;BRAQ ACO AUTO ROTH SLI 022 14/ - 15 GCH 5UN 1014007 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409727;BRAQ ACO AUTO ROTH SLI 022 21 - 5UN 1014002 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409758;BRAQ ACO AUTO ROTH SLI 022 24/ - 25 GCH 5UN 1014008 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409765;BRAQ ACO AUTO ROTH SLI 022 31/ - 41/32/42 5UN 1014009 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409796;BRAQ ACO AUTO ROTH SLI 022 35 - GCH 5UN 1014015 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;409659;BRAQ ACO AUTO SLI ROTH 022 - 5X5GCH C/P 20UN 1014900MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;506853;BRAQ CERAM CERAMIC ROTH 9º 022 - 5X5GCH C/P 20UN 1011900MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;710137;BROCA CARBIDE CIRUR CON FG 702 - 25MM 1UN PRIMA ANGELUS;UNIDADE OU PECA;PRIMA DENTAL;;;;;;;;;;;;;;;;;;;;
;110281;BROCA CARBIDE CON CORTE CRUZADO PM N° 701L 44,5MM 1UN - ALLPRIME;UNIDADE OU PECA;ALLPRIME;;;;;;;;;;;;;;;;;;;;
;710120;BROCA CARBIDE CON FG 702 19MM - 1UN PRIMA ANGELUS;UNIDADE OU PECA;PRIMA DENTAL;;;;;;;;;;;;;;;;;;;;
;389913;Broca Carbide Tronco Cônica Dentada 44,5mm Nº 702 - PM 1unid.;UNIDADE OU PECA;JET;;;;;;;;;;;;;;;;;;;;
;184266;BROCA CIRURGICA ZEKRYA 21MM - LONGA 1UN ALLPRIME;UNIDADE OU PECA;ALLPRIME;;;;;;;;;;;;;;;;;;;;
;710328;BROCA ENDO Z 23MM N° 152 FG 1UNID.;UNIDADE OU PECA;PRIMA DENTAL;;;;;;;;;;;;;;;;;;;;
;184297;BROCA GATES 28MM Nº 1 CA 1UNID.;UNIDADE OU PECA;ALLPRIME;;;;;;;;;;;;;;;;;;;;
;184303;BROCA GATES 28MM Nº 2 CA 1UNID.;UNIDADE OU PECA;ALLPRIME;;;;;;;;;;;;;;;;;;;;
;332414;BROCA LARGO PEESO 32MM Nº 1 CA 1UNID.;UNIDADE OU PECA;MICRODONT;;;;;;;;;;;;;;;;;;;;
;345438;Ponta Diamantada Esférica FG ;unidade ou peca ;micrODONT;;;;;;;;;;;;;;;;;;;;
;332438;BROCA LARGO PEESO 32MM Nº 3 CA 1UNID.;UNIDADE OU PECA;MICRODONT;;;;;;;;;;;;;;;;;;;;
;603392;Broca de Tungstênio Maxicut PM - American Burrs;UNIDADE OU PECA;AMERICAN BURRS;;;;;;;;;;;;;;;;;;;;
;508741;Cabo para Espelho Bucal Inox 1unid.;UNIDADE OU PECA;GOLGRAN;;;;;;;;;;;;;;;;;;;;
;323894;Cabo Para Bisturi - Golgran;UNIDADE OU PECA;GOLGRAN;;;;;;;;;;;;;;;;;;;;
;413007;CAIXA APARELHO SORT - 10UN 8004001 MORELLI;UNIDADE OU PECA;MORELLI;;;;;;;;;;;;;;;;;;;;
;705348;CAIXA APARELHO SORT 10UN - LYSANDA;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
;428599;CAMARA REVELACAO GOLD LINE - S/ILUMINACAO ESSENCE DENTAL VH;UNIDADE OU PECA;ESSENCE DENTAL;;;;;;;;;;;;;;;;;;;;
;383492;CERA 7 ROSA LAMINA - 18UN LYSANDA;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
;383508;Cera 9 - Lysanda;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
;553765;CERA ORTODONTICA - 10CAIXAS C/5BASTOES LYSANDA;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
;384772;CERA ORTODONTICA BRANCA 5CM - 10CAIXAS C/5BASTOES MAQUIRA;UNIDADE OU PECA;MAQUIRA;;;;;;;;;;;;;;;;;;;;
;383515;Cera Utilidade LYSANDA;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
;383515;CERA UTILIDADE ROSA - 5UN LYSANDA;UNIDADE OU PECA;LYSANDA;;;;;;;;;;;;;;;;;;;;
